"","reason","nsnp"
"1821","Verbal declarative memory (PAR-dr, EA) (NA)",2
"1822","Verbal declarative memory (unit increase) (CERAD-dr) (unit increase)",1
"1823","Verbal declarative memory (unit increase) (CVLT-dr, EA) (unit increase)",1
"1824","Verbal declarative memory (unit increase) (RAVLT-dr, EA) (unit increase)",1
"1825","Vertical cup-disc ratio (mm2 increase) (mm2 increase)",6
"1826","Vertical cup-disc ratio (unit increase) (unit increase)",17
"1827","Very long-chain saturated fatty acid levels (fatty acid 20:0) (Z score increase)",3
"1828","Very long-chain saturated fatty acid levels (fatty acid 22:0) (Z score increase)",2
"1829","Very long-chain saturated fatty acid levels (fatty acid 24:0) (Z score increase)",2
"1830","Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia (NA)",5
"1831","Visceral adipose tissue/subcutaneous adipose tissue ratio (overall) (NA)",1
"1832","Visceral fat (women) (NA)",1
"1833","Vitamin B12 levels (pg/ml increase)",6
"1834","Vitamin B levels in ischemic stroke (Vitamin B12) (unit increase)",2
"1835","Vitamin B levels in ischemic stroke (Vitamin B6) (unit increase)",1
"1836","Vitamin D insufficiency (NA)",3
"1837","Vitamin D levels (unit increase) (Age 14) (unit increase)",3
"1838","Vitamin D levels (unit increase) (Age 6) (unit increase)",2
"1839","Vitamin D levels (unit increase) (unit increase)",3
"1840","Vitamin E levels (unit increase)",3
"1841","Vitiligo (NA)",29
"1842","Vitiligo (non-segmental) (NA)",1
"1843","Vogt-Koyanagi-Harada syndrome (NA)",3
"1844","Volumetric brain MRI (ATCBV) (NA)",1
"1845","vWF levels (unit increase)",2
"1846","Waist circumference and related phenotypes (cm increase) (cm increase)",1
"1847","Waist circumference and related phenotypes (HDL cholesterol) (NA)",1
"1848","Waist circumference and related phenotypes (triglycerides) (NA)",1
"1849","Waist circumference (NA)",1
"1850","Waist Circumference - Triglycerides (WC-TG) (unit increase)",7
"1851","Waist circumference (unit increase) (BMI_pooled) (unit increase)",1
"1852","Waist-hip ratio (NA)",3
"1853","Waist-hip ratio (unit increase) (BMI_pooled) (unit increase)",1
"1854","Waist-hip ratio (unit increase) (unit increase)",14
"1855","Waist-to-hip ratio adjusted for body mass index (EA) (unit increase)",3
"1856","Waist-to-hip ratio adjusted for body mass index (EA, women) (unit increase)",5
"1857","Waist-to-hip ratio adjusted for body mass index (men) (unit increase)",1
"1858","Waist-to-hip ratio adjusted for body mass index (unit increase)",9
"1859","Waist-to-hip ratio adjusted for body mass index (women) (unit increase)",6
"1860","Warfarin maintenance dose (mg/week increase) (mg/week increase)",4
"1861","Warfarin maintenance dose (NA)",3
"1862","Wegener's granulomatosis (NA)",2
"1863","Weight (percentage SD increase) (percentage SD increase)",11
"1864","White blood cell count (K/ul increase) (AA) (K/ul increase)",2
"1865","White blood cell count (K/ul increase) (EA) (K/ul increase)",1
"1866","White blood cell count (NA)",1
"1867","White blood cell count (unit increase) (AA) (unit increase)",1
"1868","White blood cell count (unit increase) (Basophils) (unit increase)",1
"1869","White blood cell count (unit increase) (Japanese) (unit increase)",2
"1870","White blood cell count (unit increase) (Lymphocytes) (unit increase)",2
"1871","White blood cell count (unit increase) (Monocytes) (unit increase)",4
"1872","White blood cell count (unit increase) (Neutrophils) (unit increase)",1
"1873","White blood cell count (unit increase) (unit increase)",9
"1874","White blood cell count (unit increase) (WBC) (unit increase)",2
"1875","White blood cell types (basophil count) (unit increase)",4
"1876","White blood cell types (eosinophil count) (unit increase)",2
"1877","White blood cell types (monocyte count) (unit increase)",4
"1878","White blood cell types (neutrophil count) (unit increase)",2
"1879","White matter hyperintensity burden (NA)",2
"1880","White matter microstructure (global fractional anisotropy) (NA)",5
"1881","White wine liking (unit increase)",1
"1882","Wilms tumor (NA)",6
"1883","YKL-40 levels (ng/ml increase)",1
